lag,number of peak events,mean of peak events,std of peak events,t_stat of peak events,p_val of peak events,number of trough events,mean of trough events,std of trough events,t_stat of trough events,p_val of trough events
20,118,0.002814723755017336,0.06941190795570636,0.44049684261137645,0.6603900732225854,169,0.0068503120814676155,0.07513756069363207,1.1852135767647614,0.23760681604311878
21,118,-0.0003455182724213411,0.06874121878944309,-0.05460027062523012,0.9565500477343785,169,0.002792115503238158,0.0794511590737203,0.45685301467303596,0.6483668469166737
22,118,-0.002545148015082867,0.07201320620365391,-0.38392102869676575,0.7017337909978542,169,0.0027710419193971644,0.07889974274966852,0.4565736680087526,0.6485672488139556
23,118,-0.005282421332610067,0.07712470961368588,-0.7440129588247293,0.45836025411813763,169,-0.004183910420159809,0.06350878761102767,-0.8564300706731344,0.39297985926265744
24,118,0.004456292947300191,0.09019327490343516,0.5367111033814111,0.5924862943718694,169,-0.004220171299892724,0.06482184634690295,-0.8463539684599961,0.39855924508338914
25,118,0.003769419705176185,0.08164792795149692,0.50149930149921,0.6169621007992241,169,-0.002656054788368344,0.05992811563234802,-0.5761688296795128,0.565272146135031
26,118,0.005792474434286929,0.07863589041307975,0.8001737876943018,0.4252318390875711,169,-0.006823364182900742,0.05807301141686728,-1.5274519473592458,0.12852920529403405
27,118,0.00955888583357772,0.07684384829074505,1.3512607822258693,0.1792190000199058,169,0.00014031211979124473,0.06870840870063083,0.026547806764580687,0.9788519111513528
28,118,-0.01104090337989576,0.06825737006152144,-1.7570983138122516,0.08151691068760655,169,0.00018284442961460316,0.06229604693732623,0.038156154392609075,0.9696084819498452
29,118,-0.00406965130522108,0.06635000335259593,-0.6662807320357644,0.5065433256344062,169,0.0005795046693819558,0.08032366079057073,0.09379005672572381,0.9253876922672897
30,118,0.002232517905228553,0.061714049274689105,0.3929632268858129,0.6950617094474787,169,0.0026823350902372496,0.06514221225699025,0.5352958544840084,0.593153159046757
31,118,0.0015281288192791234,0.07604318270277056,0.21829343980760665,0.8275807791270461,169,0.008182215206402846,0.08462184967217688,1.2569897502277165,0.21050211152900478
32,118,-0.005498257926560865,0.06317909302173155,-0.9453502113379245,0.34642833735527223,169,-0.001030947016973803,0.07246664112381304,-0.18494456225397404,0.8534955967645448
33,118,-0.0013422116924767737,0.056594597674406805,-0.2576244303736954,0.7971493420925462,169,0.005961201262417007,0.07323448461163355,1.0581847721382154,0.291490347200362
34,117,0.010807896089106287,0.08312633296526847,1.4063566431629222,0.16229149298052958,169,0.011376874732832143,0.08534824086785671,1.7328930277052579,0.08494968759060659
35,117,0.007491177069542609,0.08235660744252146,0.9838854662632884,0.32721952508263763,169,0.011409654169572236,0.07634701493591295,1.9427806618103691,0.05371447434343363
36,117,0.0008205061831608265,0.07467981007129279,0.1188424466692164,0.905605739968945,169,0.005481421805847413,0.1050394489270156,0.6783973469389467,0.4984531682687635
37,117,0.011348543571810768,0.08793965311983959,1.3958807306497008,0.16541636093144313,168,0.009502304107818615,0.09899230691008223,1.244176863483444,0.21517790677616314
38,117,-0.005269306282543111,0.10080746312700319,-0.565397245357657,0.5728955542303384,167,-0.00129482050455281,0.07808526301541288,-0.2142884316432279,0.8305851395304911
39,117,-0.0008615950477387292,0.07454705729902952,-0.12501600609853744,0.9007272754599605,167,0.011476740195725109,0.08246735977213056,1.798434790482236,0.0739250821952583
40,117,0.004549328789211225,0.05743056807850905,0.8568348930149435,0.3933027951340794,167,0.008274804993312086,0.11340462031303393,0.9429425955046367,0.34708057495310773
41,117,-0.008350518178087048,0.07304308885907883,-1.2365942598296091,0.21873559878700183,167,0.0019366434511184087,0.06785372417425127,0.3688367767762504,0.7127193841250758
42,117,-0.006839048005649669,0.06257680152016871,-1.1821571729796105,0.2395609409415755,167,0.0033333523412638513,0.0755724422252305,0.5700015020371463,0.5694473081434324
43,117,0.006796948972018678,0.06707732677511932,1.0960520885463685,0.27532629079681575,167,-0.0010592171878130558,0.07926828826038025,-0.1726806898423904,0.8631127838976823
44,117,-0.007195324388801289,0.0593071217340666,-1.3123100701336678,0.19200631497906268,167,0.0023510916242765485,0.07855536343737105,0.38676925834104114,0.6994223878527444
45,117,0.007300968241844526,0.06670925084934226,1.1838245080561036,0.23890275140184247,167,-0.00010237311191852094,0.0812622413639014,-0.01628003536080345,0.9870305352855064
46,117,0.000888855808811632,0.07486972711211815,0.12841566219542033,0.8980424111219492,167,-0.0031004229002118645,0.07722721322068622,-0.518810561102962,0.60458378618406
47,117,0.00512588350340335,0.08698682689522398,0.6373942973860967,0.5251241029557332,167,0.0027054746543165318,0.07816441942780235,0.4472935120147798,0.6552462438499747
48,117,0.0016143942550412185,0.08407444256493879,0.2077009762224585,0.8358266617135338,167,0.0076790964919969335,0.0782828174754862,1.2676574478990619,0.2066955740993721
49,117,0.0022594641422681557,0.06088294572690217,0.40142343916288414,0.6888469448289578,167,0.003920916855333401,0.08212523094438663,0.6169774123499655,0.5380949279632106
50,117,-0.009119141250044227,0.06198279091159879,-1.591386780830509,0.11424413606460719,167,0.005890355923857006,0.07895556329920393,0.964088798697995,0.33640375779145504
51,117,-0.0006725465482670272,0.06391121345413261,-0.11382514587929256,0.9095731751829417,167,-0.0037529583411514966,0.07444078572167546,-0.6515099170468875,0.5156183271724075
52,117,-0.0011727092638679072,0.06730962801273212,-0.1884543195493917,0.8508498183206626,167,0.0026695912040418717,0.07118703224230152,0.48462086732337945,0.6285841468834799
53,117,0.017170910518161626,0.1053111904308495,1.763647283817043,0.08042423360963513,167,0.012541631504073086,0.08833636848853492,1.834732400290939,0.06833533096380554
54,117,-0.0027249059794998485,0.06797699959943192,-0.43359319863187523,0.665389152648453,167,0.000346211828422167,0.06759154821058307,0.06619234130853126,0.9473043461042232
55,117,0.0032115991943305923,0.07061834884578953,0.4919225283793164,0.623703740733343,167,-0.007090268708005719,0.07824086510222177,-1.1710819474546856,0.24324411652119116
56,117,0.003560847154792114,0.06900500119177201,0.5581689781446113,0.577804734630168,167,-0.008558839761320077,0.06610260468288259,-1.6732258233959758,0.09616627993001216
57,117,0.008442216771250883,0.0760578955964036,1.2006187605629628,0.2323451252256089,167,0.006634369372216141,0.07745096050300941,1.1069578260299637,0.26991366420969826
58,117,0.005154325423627111,0.10285985214480618,0.5420244405704289,0.5888413552903858,167,0.0004296777611818038,0.06650025786260891,0.08349832869878022,0.9335559118354695
